emotion,prompt
happy,"best quality, highly detailed, professional portrait photo of one young woman wearing a modern white VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, excited happy expression, grinning widely, close-up portrait, front view, bright high-key lighting, futuristic interior background, detailed texture, dslr photo"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one elderly european woman wearing a sleek black VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, laughing happily, open mouth laugh, joyful mood, close-up face shot, symmetrical composition, cinematic lighting, blurred tech lab background, sharp focus, detailed skin texture"
happy,"masterpiece, photorealistic, studio portrait of one middle-aged indian man wearing a high-tech VR head-mounted display, eyes fully occluded by the VR visor, expressive lower face visible, radiant smile, cheerful energy, upper body portrait, facing camera, natural window light, futuristic interior background, sharp focus, high detail, 8k"
happy,"best quality, highly detailed, professional portrait photo of one young hispanic man wearing a glossy white VR goggles, head-mounted display covering both eyes, mouth and chin clearly visible, playful grin, upturned mouth corners, close-up portrait, front view, natural window light, plain white background, sharp focus, high detail, 8k"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one young european woman wearing a glossy white VR goggles, upper half of face hidden behind the VR headset, jaw and lips clearly visible, amused smile, soft laughter, upper body portrait, facing camera, neon ambient lighting, dark gray studio background, detailed texture, dslr photo"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one teenage middle eastern woman wearing a compact gray VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, amused smile, soft laughter, medium close-up, centered composition, moody low-key lighting, dimly lit room background, ultra detailed, realistic skin pores"
happy,"best quality, highly detailed, professional portrait photo of one teenage european woman wearing a modern white VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, euphoric expression, big laughing smile, front view, head and shoulders portrait, warm golden lighting, minimalist office background, sharp focus, high detail, 8k"
happy,"masterpiece, photorealistic, studio portrait of one middle-aged african woman wearing a high-tech VR head-mounted display, upper half of face hidden behind the VR headset, jaw and lips clearly visible, playful grin, upturned mouth corners, front view, head and shoulders portrait, natural window light, cyberpunk neon background with bokeh, sharp focus, high detail, 8k"
happy,"masterpiece, photorealistic, studio portrait of one middle-aged man wearing a futuristic silver VR headset, VR goggles covering the eyes, visible mouth and chin, radiant smile, cheerful energy, close-up face shot, symmetrical composition, natural window light, blurred tech lab background, ultra detailed, realistic skin pores"
happy,"best quality, highly detailed, professional portrait photo of one elderly african man wearing a futuristic silver VR headset, VR goggles covering the eyes, visible mouth and chin, radiant smile, cheerful energy, slight three-quarter view portrait, soft diffused lighting, blurred tech lab background, sharp focus, high detail, 8k"
happy,"masterpiece, photorealistic, studio portrait of one young middle eastern woman wearing a futuristic silver VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, amused smile, soft laughter, tight portrait framing, frontal angle, natural window light, clean neutral background, sharp focus, detailed skin texture"
happy,"masterpiece, best quality, realistic photo of one adult european woman wearing a matte black VR goggles, eyes fully occluded by the VR visor, expressive lower face visible, broad smile showing teeth, happy mood, head-and-shoulders shot, eye-level camera, rim lighting, dimly lit room background, ultra detailed, realistic skin pores"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one middle-aged woman wearing a matte black VR goggles, upper half of face hidden behind the VR headset, jaw and lips clearly visible, warm smile, slightly parted lips, content mood, upper body portrait, facing camera, bright high-key lighting, black seamless background, detailed texture, dslr photo"
happy,"masterpiece, photorealistic, studio portrait of one teenage indian woman wearing a wireless VR headset with head strap, upper half of face hidden behind the VR headset, jaw and lips clearly visible, laughing happily, open mouth laugh, joyful mood, slight three-quarter view portrait, moody low-key lighting, dark gray studio background, sharp focus, high detail, 8k"
happy,"best quality, highly detailed, professional portrait photo of one middle-aged asian woman wearing a modern white VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, broad smile showing teeth, happy mood, front view, head and shoulders portrait, moody low-key lighting, white seamless backdrop, detailed texture, dslr photo"
happy,"masterpiece, photorealistic, studio portrait of one elderly european woman wearing a high-tech VR head-mounted display, VR goggles covering the eyes, visible mouth and chin, excited happy expression, grinning widely, upper body portrait, facing camera, dramatic side lighting, minimalist office background, sharp focus, high detail, 8k"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one middle-aged indian woman wearing a wireless VR headset with head strap, eyes fully occluded by the VR visor, expressive lower face visible, cheerful grin, bright smile, lifted cheeks, medium close-up, centered composition, rim lighting, blurred tech lab background, crisp details, professional photography"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one elderly indian man wearing a high-tech VR head-mounted display, upper half of face hidden behind the VR headset, jaw and lips clearly visible, gentle happy smile, relaxed joyful face, head-and-shoulders shot, eye-level camera, bright high-key lighting, cyberpunk neon background with bokeh, high resolution, fine skin detail"
happy,"masterpiece, photorealistic, studio portrait of one adult african man wearing a wireless VR headset with head strap, eyes fully occluded by the VR visor, expressive lower face visible, cheerful grin, bright smile, lifted cheeks, upper body portrait, facing camera, soft diffused lighting, blurred living room background, sharp focus, detailed skin texture"
happy,"masterpiece, photorealistic, studio portrait of one elderly woman wearing a futuristic silver VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, cheerful grin, bright smile, lifted cheeks, medium close-up, centered composition, studio lighting, plain white background, high resolution, fine skin detail"
happy,"masterpiece, best quality, realistic photo of one adult man wearing a compact gray VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, gentle happy smile, relaxed joyful face, tight portrait framing, frontal angle, soft diffused lighting, clean neutral background, detailed texture, dslr photo"
happy,"masterpiece, photorealistic, studio portrait of one middle-aged east asian man wearing a compact gray VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, broad smile showing teeth, happy mood, medium close-up, centered composition, studio lighting, white seamless backdrop, high resolution, fine skin detail"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one young european man wearing a sleek black VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, laughing happily, open mouth laugh, joyful mood, tight portrait framing, frontal angle, warm golden lighting, white seamless backdrop, crisp details, professional photography"
happy,"masterpiece, best quality, realistic photo of one young african woman wearing a wireless VR headset with head strap, head-mounted display covering both eyes, mouth and chin clearly visible, playful grin, upturned mouth corners, slight three-quarter view portrait, moody low-key lighting, clean neutral background, crisp details, professional photography"
happy,"masterpiece, best quality, realistic photo of one adult middle eastern man wearing a matte black VR goggles, eyes fully occluded by the VR visor, expressive lower face visible, radiant smile, cheerful energy, close-up portrait, front view, cool blue tech lighting, plain white background, high resolution, fine skin detail"
happy,"masterpiece, photorealistic, studio portrait of one adult middle eastern woman wearing a futuristic silver VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, gentle happy smile, relaxed joyful face, front view, head and shoulders portrait, cinematic lighting, futuristic interior background, ultra detailed, realistic skin pores"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one young east asian man wearing a compact gray VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, excited happy expression, grinning widely, close-up portrait, front view, soft diffused lighting, cyberpunk neon background with bokeh, ultra detailed, realistic skin pores"
happy,"masterpiece, photorealistic, studio portrait of one middle-aged woman wearing a high-tech VR head-mounted display, head-mounted display covering both eyes, mouth and chin clearly visible, joyful expression, wide open-mouth smile, raised cheeks, medium close-up, centered composition, moody low-key lighting, dark gray studio background, sharp focus, detailed skin texture"
happy,"masterpiece, best quality, realistic photo of one teenage indian man wearing a futuristic silver VR headset, eyes fully occluded by the VR visor, expressive lower face visible, cheerful grin, bright smile, lifted cheeks, tight portrait framing, frontal angle, neon ambient lighting, dimly lit room background, high resolution, fine skin detail"
