emotion,kind,text
happy,scene,"sunny tropical beach paradise, turquoise water, white sand, palm trees"
happy,scene,"vast blooming flower field under a clear blue sky, butterflies drifting"
happy,scene,"colorful amusement park with a carousel and floating balloons"
happy,scene,"cozy sunlit green meadow with playful golden retriever puppies"
happy,scene,"vibrant summer festival with fireworks and confetti at dusk"
happy,scene,"rainbow over a lush waterfall valley, birds flying"
happy,scene,"warm spring cherry blossom park in full bloom, petals in the air"
happy,scene,"joyful lantern festival with glowing paper lanterns floating up"
happy,scene,"bright hot-air balloon fiesta drifting over rolling green hills"
happy,scene,"cheerful seaside carnival boardwalk with string lights and kites"
happy,mood,"bright cheerful daylight"
happy,mood,"warm golden hour glow"
happy,mood,"festive joyful atmosphere"
happy,mood,"uplifting radiant mood"
happy,mood,"sparkling vivid colors, blissful energy"
happy,mood,"sunny carefree ambiance"
happy,mood,"playful lighthearted spirit"
happy,mood,"glowing warm happiness"
happy,mood,"lively celebratory mood"
happy,mood,"serene delightful warmth"
sad,scene,"lonely rainy city street at dusk, wet empty pavement"
sad,scene,"abandoned empty room with dim light and floating dust"
sad,scene,"foggy grey cemetery under bare leafless trees"
sad,scene,"desolate autumn forest with falling withered leaves"
sad,scene,"empty quiet hospital corridor at night"
sad,scene,"deserted rainy train platform, a single flickering lamp"
sad,scene,"grey overcast seashore with cold crashing waves, no one around"
sad,scene,"faded old house interior with covered furniture and cobwebs"
sad,scene,"solitary bench in an empty park under heavy grey rain"
sad,scene,"dim attic full of dusty forgotten belongings and old photographs"
sad,mood,"grey melancholic mood"
sad,mood,"somber sorrowful atmosphere"
sad,mood,"cold blue lonely light"
sad,mood,"overcast heavy gloom"
sad,mood,"faded desaturated melancholy, quiet despair"
sad,mood,"wistful mournful stillness"
sad,mood,"hollow aching emptiness"
sad,mood,"dreary tearful ambiance"
sad,mood,"forlorn desolate quiet"
sad,mood,"muted grieving atmosphere"
angry,scene,"chaotic gridlock traffic jam, glaring red brake lights"
angry,scene,"stormy red sky over a burning industrial wasteland"
angry,scene,"ruined war-torn city street with rubble and thick smoke"
angry,scene,"raging wildfire consuming a dark forest, fierce flames surrounding"
angry,scene,"crowded overwhelming subway platform crushed at rush hour"
angry,scene,"violent thunderstorm over jagged black volcanic rocks"
angry,scene,"polluted factory zone with belching smokestacks and grime"
angry,scene,"turbulent crimson lava field cracking and erupting"
angry,scene,"clashing riot barricade with smoke and burning debris"
angry,scene,"molten steel foundry roaring with sparks and searing heat"
angry,mood,"intense oppressive atmosphere"
angry,mood,"tense hostile mood"
angry,mood,"aggressive fiery red tone"
angry,mood,"suffocating heat and noise"
angry,mood,"seething turbulent red glare, raging"
angry,mood,"furious blazing intensity"
angry,mood,"violent chaotic energy"
angry,mood,"harsh menacing tension"
angry,mood,"explosive wrathful mood"
angry,mood,"burning relentless fury"
surprise,scene,"sudden glowing magical portal opening in a mystical forest"
surprise,scene,"surreal floating islands in the sky with cascading waterfalls"
surprise,scene,"spectacular cosmic aurora and an exploding galaxy overhead"
surprise,scene,"giant whimsical creature emerging unexpectedly from the clouds"
surprise,scene,"fantastical crystal cave suddenly revealed, glittering everywhere"
surprise,scene,"a whale gliding impossibly through a sky full of stars"
surprise,scene,"an enormous unexpected fireworks finale bursting all around"
surprise,scene,"a hidden bioluminescent forest lighting up all at once"
surprise,scene,"a colossal shooting star streaking down over a still lake"
surprise,scene,"a secret door swinging open onto an impossible golden city"
surprise,mood,"dazzling light burst"
surprise,mood,"breathtaking unexpected vista"
surprise,mood,"awe-inspiring astonishing scene"
surprise,mood,"wondrous sudden reveal"
surprise,mood,"startling brilliant spectacle, jaw-dropping"
surprise,mood,"electrifying moment of wonder"
surprise,mood,"sudden magical astonishment"
surprise,mood,"spectacular unexpected marvel"
surprise,mood,"thrilling stunned amazement"
surprise,mood,"mesmerizing surprise reveal"
fear,scene,"dark haunted forest at midnight, twisted trees, menacing shadows"
fear,scene,"abandoned decaying asylum hallway with flickering lights"
fear,scene,"standing at the edge of a dizzying tall cliff over a deep abyss"
fear,scene,"deep pitch-black cave with an unknown lurking presence"
fear,scene,"creepy foggy graveyard at night with looming tombstones"
fear,scene,"narrow flooded tunnel in total darkness, distant echoing"
fear,scene,"derelict horror mansion staircase under a blood moon"
fear,scene,"endless dark corridor with doors slowly creaking open"
fear,scene,"abandoned subway tunnel with broken lights and dripping water"
fear,scene,"sinister basement lit by a single swinging bulb, shadows moving"
fear,mood,"eerie chilling terror"
fear,mood,"claustrophobic dread"
fear,mood,"ominous horror atmosphere"
fear,mood,"cold creeping fear"
fear,mood,"haunting shadowy menace, spine-chilling"
fear,mood,"suffocating nightmarish dread"
fear,mood,"sinister lurking horror"
fear,mood,"paralyzing icy fear"
fear,mood,"bleak foreboding gloom"
fear,mood,"tense petrifying silence"
disgust,scene,"overflowing garbage dump with rotting waste and swarming flies"
disgust,scene,"dirty clogged sewer tunnel with grimy dripping sludge"
disgust,scene,"moldy abandoned kitchen with rotten spoiled food"
disgust,scene,"swarm of insects crawling over decaying matter"
disgust,scene,"polluted toxic swamp with murky slime and floating refuse"
disgust,scene,"filthy neglected public restroom, stained and grimy"
disgust,scene,"pile of spoiled meat covered in mold in a dim cellar"
disgust,scene,"stagnant green pond thick with scum and dead fish"
disgust,scene,"overflowing dumpster alley crawling with rats and maggots"
disgust,scene,"grimy slaughterhouse floor smeared with rot and flies"
disgust,mood,"revolting filthy scene"
disgust,mood,"nauseating foul atmosphere"
disgust,mood,"repulsive decay"
disgust,mood,"sickening grime"
disgust,mood,"putrid squalid filth, stomach-turning"
disgust,mood,"vile rancid stench"
disgust,mood,"gross festering rot"
disgust,mood,"repugnant slimy squalor"
disgust,mood,"disgusting infested mess"
disgust,mood,"foul putrescent decay"
neutral,scene,"plain minimalist empty white studio"
neutral,scene,"quiet serene zen garden with raked sand and stones"
neutral,scene,"calm empty library reading room"
neutral,scene,"gentle misty lake at dawn with flat calm water"
neutral,scene,"simple tidy modern living room"
neutral,scene,"empty softly lit art gallery with blank walls"
neutral,scene,"quiet office space with neutral grey furniture"
neutral,scene,"plain overcast open field, flat horizon"
neutral,scene,"bare waiting room with evenly spaced chairs"
neutral,scene,"simple empty classroom with tidy desks and soft daylight"
neutral,mood,"soft even light, calm neutral space"
neutral,mood,"tranquil balanced stillness"
neutral,mood,"peaceful quiet mood"
neutral,mood,"relaxed plain atmosphere"
neutral,mood,"muted understated calm, ordinary"
neutral,mood,"plain unremarkable ambiance"
neutral,mood,"steady composed quiet"
neutral,mood,"mild neutral daylight"
neutral,mood,"simple undisturbed calm"
neutral,mood,"even flat serene tone"
all,quality,"ultra detailed, sharp focus, high resolution"
all,quality,"cinematic, highly detailed, realistic"
all,quality,"photorealistic, rich detail, immersive"
all,quality,"crisp detail, natural lighting, lifelike"
